Population	Quadrat	GM_Coverage	Galium_aparine	Acer_Saccharum	Unknown_Grass	Galium_circaezans	Ulmus_americana	False_Solomon_Seal	Solidago_canadensis	Unknown_Monocot	Thalictrium_sp	Aliaria_petiolata	Unknown_1	Carya_codiformis	Parthenocissus_quinquefolia	Rhubarb	Geranium_robertanium	Trifolium_sp	Zanthoxylum_americanum	Rubus_occidentalis	Unknown_15	Unknown_2	Unknown_14	Viccia_craca	Unknown_4	Circeae_lutetiana	Thelypteris_noveboracensis	Clematis_virginiana	Unknown_6	Fallopia_convolvulus	Cornus_canadensis	Fraxinus_americana	Rhamnus_cathartica	Thelypteris_phegopteris	Arisaema_triphylum	Lili_valley	Unknown_8	prunis_sp	Ribes_cynosbati	Acer_negundo	Fraxinus_pensylvanica	Blood_root	Acer_rubrum	Tilia_americana	Acer_saccharinum	Dandelion	Carpinus_carolinia	unknown_9	unknown_10	Viola_sp	Strawberry	lilac	unknown_12	Dryopteris_marginalis
7	1A	5	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1B	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2A	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2B	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3A	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3B	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	4A	5	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	4B	5	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	5A	5	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	5B	5	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
