Pop	Location	Species	Length_plant
14	out	Acer_saccharum	14
14	out	Gallium_aparine	87
14	out	Circaea_lutetiana	20
14	out	Geranium_robertinum	12
14	out	Solidago_canadensis	67
14	in	Acer_saccharum	11
14	in	Gallium_aparine	65
14	in	Circaea_lutetiana	51
14	in	Geranium_robertinum	20
14	in	Solidago_canadensis	100
14	out	Acer_saccharum	10
14	out	Gallium_aparine	31
14	out	Circaea_lutetiana	10
14	out	Geranium_robertinum	23.5
14	out	Solidago_canadensis	45
14	in	Acer_saccharum	11
14	in	Gallium_aparine	86
14	in	Circaea_lutetiana	47
14	in	Geranium_robertinum	43
14	in	Solidago_canadensis	70
14	out	Acer_saccharum	12.5
14	out	Gallium_aparine	54
14	out	Circaea_lutetiana	25
14	out	Geranium_robertinum	21
14	out	Solidago_canadensis	30
14	in	Acer_saccharum	9
14	in	Gallium_aparine	62
14	in	Circaea_lutetiana	44
14	in	Geranium_robertinum	27
14	in	Solidago_canadensis	55
13	out	Acer_saccharum	13
13	out	Gallium_aparine	44
13	out	Circaea_lutetiana	36
13	out	Geranium_robertinum	30
13	out	Solidago_canadensis	40
13	in	Acer_saccharum	19
13	in	Gallium_aparine	38
13	in	Circaea_lutetiana	21
13	in	Geranium_robertinum	22
13	in	Solidago_canadensis	54
13	out	Acer_saccharum	15
13	out	Gallium_aparine	38
13	out	Circaea_lutetiana	30
13	out	Geranium_robertinum	31
13	out	Solidago_canadensis	49
13	in	Acer_saccharum	13
13	in	Gallium_aparine	27
13	in	Circaea_lutetiana	31
13	in	Geranium_robertinum	27
13	in	Solidago_canadensis	48
13	out	Acer_saccharum	12
13	out	Gallium_aparine	50
13	out	Circaea_lutetiana	38
13	out	Geranium_robertinum	24
13	out	Solidago_canadensis	46
13	in	Acer_saccharum	10
13	in	Gallium_aparine	38
13	in	Circaea_lutetiana	35
13	in	Geranium_robertinum	19
13	in	Solidago_canadensis	39
7	out	Acer_saccharum	10
7	out	Gallium_aparine	27
7	out	Circaea_lutetiana	21
7	out	Geranium_robertinum	25
7	out	Solidago_canadensis	47
7	out	Maianthemum_racemosum	11
7	out	Anemone_hepatica	15
7	in	Acer_saccharum	19
7	in	Gallium_aparine	31
