indiv,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2OSC2,1.2,0.7,0.8,1.1,0.9,0.6,0.2,1,0.9,1.1
8OAH1,0.6,0.8,0.8,1.1,1.2,1.5,1,1.9,1.5,1.2
3OGA2,0.4,0.5,0.5,0.4,0.4,0.6,0.6,0.4,0.4,0.3
2IAH2,2.8,2.2,3.7,3.3,2.1,2.1,2.3,1.4,1.8,1.9
13OGR3,0.4,0.5,0.3,0.3,0.5,0.7,0.7,0.2,0.4,0.6
7ICL1,0.4,0.6,0.4,0.5,0.9,1,0.8,0.4,0.3,0.8
1OMR1,1,1.3,0.9,0.5,0.5,0.7,1.5,1.2,1.1,0.7
8OGA3,0.5,0.4,0.6,0.3,0.2,0.2,0.4,2,7,0.3
3IGA2,0.6,0.6,0.3,0.2,1.1,0.5,0.6,0.4,0.3,0.6
5IMR2,2.8,3.7,5.2,4.2,2.7,3.4,2.9,3.5,3.3,4.5
5IGR1,0.9,0.7,0.6,1.6,1.3,1.3,0.4,1.6,1,0.6
5ISC3,0.9,1.3,1.2,0.9,1.1,0.3,0.4,0.8,1.2,0.3
5ISC1,1.5,1.5,1,0.9,0.8,1.2,0.9,0.8,1.3,1.1
14OGR1,3.3,5.3,2.7,3.1,6.7,4.3,4.1,4,5.2,3.1
5OGR2,0.5,0.3,0.3,0.5,0.1,0.4,0.5,0.3,0.4,0.7
2ISC2,0.8,0.9,0.6,1.3,1.2,1.3,1.6,1.3,1,0.8
5IAH3,1.8,1.9,2.6,2.1,2.5,2.3,2.2,1.4,1.8,2.8
7IGR2,2.1,3.4,2,2.2,2.1,1.3,1.4,1,1.7,1.1
8ICL3,2.4,0.2,0.2,0.4,0.7,0.4,3.7,1.8,2,2.2
14ICL3,0.7,0.3,0.5,0.5,0.2,0.2,0.6,4.2,3.5,4
2IAH3,1.4,1.5,2.4,3.4,2.2,1.1,0.7,1.4,1.4,2.3
11IGR1,0.3,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.5,0.7
7OAH1,1.1,1.6,1.3,0.5,0.9,1.1,1.5,1.4,0.9,2.4
1ISC2,1.1,0.8,0.9,0.8,0.8,0.8,0.9,1.5,1,1.1
4OMR3,1,1.6,2,3.5,1.6,1.1,2,1.7,2.4,1.7
8OMR2,1.2,1.2,1,4.5,2.9,1.1,1.7,1.5,1.5,2.4
2OCL2,3,0.3,2.4,3.2,2.5,3.5,3.2,2,0.5,0.5
1IMR3,2.4,1.9,2.6,0.3,0.5,2.9,1.3,0.6,2,0.8
2OCL3,0.2,0.2,0.4,0.2,0.8,0.3,0.9,1.2,1.1,0.2
3IMR2,0.8,0.6,0.5,0.5,1,1.1,0.9,0.9,1.2,1.6
1OMR3,1.1,0.9,0.9,1.4,1.2,1.8,1.9,2.5,0.9,1.6
8IAH2,1.8,2.8,2.4,2.2,2.4,1.1,2.3,2.4,1.9,2.2
2ICL1,1.3,1.1,2.5,2.7,0.8,0.9,1.2,1.3,1.3,2.9
4OAH2,1,0.4,1.3,1.5,1.3,1.5,0.8,1.9,2.2,0.8
8OMR1,1.5,1.3,0.5,1.5,0.5,1.2,1.3,1.2,1.2,1.7
1OMR2,0.9,0.2,1.2,2.5,1.6,0.5,1.2,1.6,1.6,1.8
8OCL1,1.1,2,2.7,0.4,0.2,0.2,0.2,0.2,0.3,0.2
4IAH3,1.2,1.7,2.9,1.3,0.9,0.7,0.8,1.8,0.9,1.5
3OMR3,1.6,1.8,2.3,1.1,1,1.2,1,3,1.2,0.9
11IGA1,0.1,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0.1
2OSC1,0.5,1.5,0.7,1.5,0.6,0.7,0.9,1,1.5,1
5OMR2,0.3,0.6,0.4,8,1.7,1.5,1.5,1.4,1,0.6
8ICL1,3.1,3.5,3.2,3.3,3.7,3.2,3.2,5,3.5,4
1OGR2,1,1.4,0.3,2.2,0.3,1,0.7,0.6,0.3,0.5
5OMR3,0.4,0.5,0.2,0.6,0.2,0.3,0.6,0.3,0.5,0.2
4OAH3,0.6,0.5,1.3,1.1,1.6,1.2,0.5,1.3,0.7,1.5
14OGR3,0.7,0.3,0.8,0.6,0.5,0.6,0.5,0.6,0.7,0.4
1OGR1,0.7,0.9,0.3,0.2,0.4,0.4,0.3,0.3,0.4,0.2
3OCL2,0.9,0.8,1.5,0.2,0.3,1.6,5,3,3.3,3
5IGR3,0.3,0.2,0.2,0.7,0.5,0.7,0.5,0.3,0.2,0.4
3IMR3,1.3,1.3,1.3,0.5,0.6,1,0.7,0.5,0.5,0.9
5OGR1,0.5,0.4,0.5,0.3,0.1,0.4,0.4,0.5,0.3,0.1
5IAH2,1.2,0.9,1.2,0.8,1.3,1.4,1.2,0.8,1,0.9
8OMR3,1.5,1.9,1.9,1.2,1.3,2.1,2,0.9,0.8,1.9
