Population	Location	pH	Agg_stability	wt_uG	N_percent	C_percent
1	in	6.91	0.63902439	59.3	0.374299318	4.884153843
1	out	6.98	0.661538462	60.91	0.526860893	8.282208443
2	in	7.31	0.481617647	61.4	1.058396578	16.31890106
2	out	7.44	0.299295775	63.1	0.472835541	11.32244205
4	in	6.56	0.784860558	60.62	0.561852336	7.710634708
4	out	5.99	0.431693989	66.2	0.242751703	3.86495471
5	in	6.99	0.723214286	60.44	0.588847876	7.66222477
5	out	5.63	0.63	61.91	0.344025433	4.751768589
6	in	6.44	0.668122271	59.61	1.319814563	16.55556679
6	out	6.01	0.62745098	59.96	0.804649115	10.84923172
7	in	7.31	0.762658228	60.02	0.298814684	4.478207588
7	out	5.87	0.635869565	60	0.380782157	5.49055481
8	in	6.31	0.591269841	61.34	0.464493573	5.802472115
8	out	6.12	0.784140969	60.82	0.42282629	4.853926182
13	in	5.99	0.594684385	58.92	0.3223342	4.284380436
13	out	6.44	0.727659574	57.72	1.127855301	14.89475346
14	in	6.98	0.691780822	59.88	0.419415414	5.370337963
14	out	7.03	0.539936102	60.25	0.288802683	3.49964118
3	in	7.07	0.529051988	61.16	0.249224693	3.651137829
3	out	6.48	0.561561562	59.52	0.210949421	3.420320749
